partner_id,partner_name,partner_type,tier,address,quality_score,on_time_delivery_pct
S-A,A-Electronics,SUPPLIER,1,"129 Samsung-ro, Yeongtong-gu, Suwon-si, Gyeonggi-do",94,98.10
S-B,LG Chem,SUPPLIER,2,"108 Gongdan-ro, Heungdeok-gu, Cheongju-si, Chungcheongbuk-do",98,99.30
S-C,Samsung SDI,SUPPLIER,2,"105 Gwanggyo-ro, Yeongtong-gu, Suwon-si, Gyeonggi-do",96,96.80
S-D,Hyundai Motors,SUPPLIER,1,"300 Teheran-ro, Gangnam-gu, Seoul",93,97.20
S-E,Hyosung Heavy Industries,SUPPLIER,1,"92 Mapo-daero, Mapo-gu, Seoul",90,92.10
S-F,Sebang Battery,SUPPLIER,2,"250 Gongdan 1-daero, Siheung-si, Gyeonggi-do",89,93.40
S-H,Hankook Tire,SUPPLIER,2,"321 Sintanjin-ro, Daedeok-gu, Daejeon",92,97.90
S-I,Samwha Capacitor,SUPPLIER,2,"3 Gongjang-gil, Inju-myeon, Asan-si, Chungcheongnam-do",88,94.60
C-1,CJ Logistics,CARRIER,1,"100 Sejong-daero, Jung-gu, Seoul",95,99.00
C-2,Hanjin,CARRIER,1,"10 Tongil-ro, Jung-gu, Seoul",93,98.50
C-3,Dongbu Express,CARRIER,2,"150 Jungang-daero, Dong-gu, Busan",91,97.10
S-G,G-Power Systems,SUPPLIER,2,"Poseung Industrial Complex, Pyeongtaek-si, Gyeonggi-do",91,95.50
S-J,J-Mechanics,SUPPLIER,2,"Namdong Industrial Complex, Incheon",88,92.10
S-K,K-Electronics,SUPPLIER,1,"Dongtan, Hwaseong-si, Gyeonggi-do",95,98.80